Sensor,Lag_Minutes,SHAP_Samples,MSE_Test,RMSE_Test,R2_Test,MSE_Train,RMSE_Train,R2_Train,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
ind01,-140,1000,13.761974970120892,3.7097135967781787,0.8016477121400978,0.8338362089868119,0.9131463239737714,0.9851289565315512,0.4892296579760392,0.1275036568301667,1.3419348357061616,6.632309449425951,0.7856171360696419,0.2008774577310244,0.0,0.0,0.06225529606119932,0.2204862187267572,0.100873527725424,0.1293798013912624,1.1965989319087222,0.011855069099068676,0.24710613978580157,0.7944024321366977,0.3800339163139232,0.3705298452144446,0.1952873608226088,0.16873555641800125,0.09791973530334698,0.012245469605408189,0.08718823487112,0.04936984730440574,0.02487299770490153,0.03866549653021853,0.13177816316560143,0.5314109060131587,0.04637283316497687,0.3188911543328029,0.03405826731837823,0.17426002386514117,0.03281943914310775,0.012494513562427548,0.038197037167834284,0.0,0.1222989661545151,0.14208224503250722,0.3553896410538731
ind02,-140,1000,1.1778106448931502,1.0852698488823644,0.9630503184385331,0.57313709279521,0.757058183229803,0.9828934174929997,0.5291815351932692,0.08523276628353926,1.419779908388699,5.93656832691095,1.154594571047904,0.2861663348040942,0.0,0.0,0.038264108898270734,0.12365687688781078,0.0693557509407993,0.10616737994875522,0.73794436750383,0.02193697523958048,0.3461698133118908,0.6778427891480959,0.15618391254047256,0.3682934143864438,0.07136892481208662,0.17151033322294915,0.06615739619119247,0.016802279140220505,0.1095585907316803,0.06601698832846256,0.10516985003289549,0.08512771229976565,0.12028262846477242,0.4743486623467651,0.10342071546401733,0.4071492423461038,0.019813465815064813,0.05772850299426475,0.03313296224878056,0.0,0.03917861308168152,0.0008007196416164515,0.14657486605324083,0.1404941452852968,0.4404435788513529
ind03,-110,1000,1.422735845901173,1.1927849118349767,0.9620121995920892,0.7572054467108075,0.870175526380056,0.9799315943200263,0.6028572873948411,0.1608669349278087,1.8537641200100046,6.294480632554147,0.691603627361302,0.23474047422090205,0.0,0.0,0.055904336612608775,0.1978745802381728,0.3164766620210651,0.2489420194307457,1.2118307411048994,0.018669460230660066,0.2711888443706434,0.660770511819869,0.14302791572698748,0.4440843771132911,0.05652067192439473,0.19676648794328935,0.04154926359249103,0.060778396152139216,0.0443777768855274,0.06326361967305737,0.04379280074078582,0.07599489473315192,0.10102548035870586,0.5219952690782623,0.06557254040510851,0.3695696449484123,0.020024323469426016,0.05499288333664616,0.07630111330241189,0.0,0.009825206364599295,0.008629552439999544,0.078068435356204,0.15607637128468846,0.510602649123663
ind04,-160,1000,1.6192579697582987,1.27250067573982,0.9602161482163197,0.8135656985123532,0.9019787683268122,0.9797653114748051,0.6623119062982391,0.1624401458459549,2.1957018664200354,6.37201948609334,1.0655353221446848,0.5370402427219462,0.0,0.0,0.3021401157342204,0.6775627306559064,0.13844306570764106,0.12922376669771754,0.3265451140941335,0.030422993892761804,0.3164155550807618,0.5109334109458473,0.1190218086521057,0.4059108410811151,0.09198428087090962,0.13724447872294607,0.08086971591794052,0.038248744910678575,0.08980688135703492,0.0715138587252551,0.06682949748522128,0.04338516264839674,0.21130605694646562,0.3755153217228522,0.03582501411217993,0.5260610840439057,0.02651845831339017,0.04763986180031671,0.06964742382666923,0.0,0.024969074230470026,8.82200419344008e-05,0.17406342457289983,0.06859969838512682,0.3579790654715067
ind06,-90,1000,0.9575212279032187,0.9785301364307687,0.9822391835816483,0.5002020439708068,0.7072496334186443,0.9901123246791355,0.21815689058797288,0.07307730532830888,1.1534631301476586,6.987681072575231,0.8036018213815611,0.13439519178164025,0.2165641563039927,0.0,0.03827192379866494,0.14486588560198352,0.05490227897827488,0.24758656881987848,1.0937852388029066,0.9275480285420873,0.1716284056807694,0.3716093888054857,0.15622417829694452,0.15326719764261623,0.06148718745292898,0.05620152725760213,0.05655629288364434,0.040890877414999416,0.09072118702850444,0.05136128442963699,0.011668734984998588,0.10436880175639533,0.1485494545522681,0.3898328748596113,0.040721577795261456,0.31586784432581,0.048618014846071665,0.11830543774518182,0.03303909811155946,0.0,0.022514592909621434,0.04504719470370527,0.07413383632515137,0.06060180104932991,0.09698878977953661
ind07,-140,1000,0.9556679485999813,0.9775827067823885,0.973042992323839,0.5206364732050099,0.7215514348991414,0.9846284339311772,0.38311023339731565,0.17096196095340518,2.132567560152246,6.990916350411317,0.9853082941425039,0.10722236337000553,0.0,0.0,0.04974486622895345,0.09487962998655344,0.12241988029293434,0.30856693691064707,0.1400182262795902,0.08984082182802247,0.2535387493188685,0.4776347048098558,0.1672908539953074,0.32707536457768044,0.05931779876999287,0.21209155681129777,0.05407344793074616,0.02768456842718092,0.0780088727049601,0.06936058038750287,0.03000391835010028,0.05869789665442644,0.09205546505182115,0.343370638930596,0.046032813524142006,0.3028453057908553,0.018728103295430773,0.05367090574030767,0.034047193797437064,0.0,0.045688513370510775,0.00035393354322761297,0.13086598559742246,0.11287345951575314,0.38169015743864027
ind08,-110,1000,1.20283499801379,1.0967383452828618,0.9758130568452823,0.5396066419330283,0.7345792278121049,0.990030459816748,0.42136940369519016,0.15176861211027212,1.501419262647968,5.997399567404303,1.3677677038134117,0.13356308408083956,0.3823728017001043,0.0,0.05971318301980579,0.4684540058209992,0.12035831429694141,0.5298279293492754,0.5646039924261601,0.011462692580120672,0.36071591847355766,0.6657251365427711,0.10256037231757625,0.362628380016305,0.08498348358918631,0.1574818891124158,0.04344057141570842,0.012409617678744194,0.10608189299155521,0.01775108582812014,0.02231141062884587,0.03841463484686102,0.07773685457459853,0.3976515231571815,0.03538258093879868,0.10356586240058151,0.012022811938855925,0.03254415548409013,0.049772415805291355,0.0,0.003989195655559296,0.0,0.08178573625889266,0.08074526172779901,0.19489784950307792
ind09,-80,1000,1.9848204468202792,1.408836557880395,0.9277193522458637,1.0396626703650091,1.0196384998444346,0.9611211173230827,0.8625345394618545,0.13360177530816109,1.840094635535981,5.155347810101032,1.5466440948128761,0.23049150104486557,0.0,0.0,0.07310459395211712,0.19736917532032036,0.18561697839826102,0.09222369015157748,0.351041290033736,0.03476943500775841,0.3972670101328317,0.8476917347769665,0.17354779640927126,0.362471667963427,0.15399585242117814,0.1930841295997525,0.06063256291485169,0.034271422736257176,0.12276934640528461,0.11923847495285236,0.04540333167953187,0.02863313476130253,0.28503526423360753,0.2973446295211758,0.0907058033567934,0.2713665382566176,0.03450104354961543,0.08070114999419974,0.02966937364884884,0.0,0.03744955360023888,0.011056098271021617,0.09823023753559526,0.1549910942924204,0.1306108390862992
ind10,-110,1000,1.9960039603155133,1.4128000425805178,0.9558667326014473,0.735826820640459,0.8578034860272247,0.983027977512266,0.45745877310067584,0.12214751650007495,1.8010955325010423,5.1665328302574745,2.0540973961478586,0.16803371698699587,0.0,0.0,0.13596476238208846,0.12027491482412979,0.14048245195258155,0.32381077327727814,0.12724356011902851,0.0,0.42604877739996905,0.5547592785705389,0.24888205857479093,0.5280042574950836,0.15126261186673773,0.10475049060634857,0.046395672105367096,0.02654386114608957,0.04363866764666277,0.02684814426583936,0.008774569121091627,0.04399431825877857,0.0900574591608344,0.16051653408728317,0.021405938649296272,0.23045131360673868,0.0,0.04277605579249798,0.04651851701851813,0.0,0.016170760189073055,0.0,0.09686215871487634,0.09076303359013255,0.3684224632148578
ind11,-130,1000,2.550814878061282,1.5971270701047182,0.9459393366179114,1.3693819968958074,1.1702059634507966,0.9714580556069532,0.9599863956776639,0.24938139104938015,2.0275789406777225,6.325885433159021,1.0161748637347316,0.20020834004955318,0.45709195083551124,0.0,0.2642864029169093,0.33209725059584694,0.36527939756511324,0.4522534467995241,0.5639773110951096,0.026004375969576495,0.28454738685546227,1.0214529795196707,0.26852974147652625,0.41747586085602517,0.21416034560275737,0.10755162624532505,0.12904999222938643,0.009683009960865503,0.12932535955386268,0.03685784350570231,0.027462665023952705,0.03070974223713218,0.19738525104609517,0.41509191253550726,0.07385342645992006,0.33728513069849003,0.025737716267023713,0.16984474384572795,0.02324080518525566,0.0,0.021922678544568214,0.02815510078921333,0.09582936855996088,0.09981787869193746,0.21409068214697402
ind12,-130,1000,1.8699587579906394,1.3674643534625095,0.9602292351636159,0.9915934848690053,0.9957878714209193,0.9790022656117225,0.7432137486839039,0.09921466285032424,2.152800320864204,7.2900405081781585,1.3024282201814357,0.3091312924827314,0.8529171887241308,0.0,0.16700882230419675,0.0709632780828606,0.12544209573334425,0.3711367137344546,0.28873863719355886,0.051683069020537833,0.18233190250592737,0.9877459756868966,0.20481949312435188,0.2922749928608275,0.12101666208257723,0.12345777684020182,0.09891625280484524,0.05607355395048621,0.16150548095587433,0.057331650586696085,0.06277986064153032,0.07731254713611257,0.2128220695671147,0.673697733354634,0.08207111393188368,0.5259123272770311,0.04267573268510408,0.22243801395690577,0.04944079114979485,0.0,0.028564679662419934,0.050947446027975685,0.06789083913347949,0.10371593066566812,0.26191760239414047
ind13,-110,1000,1.778782007767732,1.333709866413131,0.9635162819418182,0.9464297549764248,0.9728462134255469,0.9791754430254304,1.3375277896013031,0.9256146755983014,2.0348723549966956,6.347598533578604,1.4917540611310878,0.2854337471559879,0.20464331264138236,0.0,0.059280304146951776,0.08479390597566612,0.07082939467846285,0.26105786925291163,0.3270230545692004,0.013911129042326916,0.2872740427709456,1.4653421560137228,0.19082308748375396,0.37265092864127036,0.08249273435836883,0.1063375317304217,0.09080987209463608,0.016997683973349657,0.08633966637024655,0.04795933215817776,0.00936285263119921,0.032717788738799276,0.15501740563244312,0.40633782615776476,0.047489617001651885,0.34075044364058477,0.010550229289977025,0.20238436803459142,0.055290364089513884,0.0,0.033506907408808455,0.03620709894596717,0.11650438325918053,0.12314442409048092,0.48643963058182915
ind14,-120,1000,1.502299627370975,1.225683330787759,0.9518921944676345,0.7439994712699365,0.8625540396229888,0.9758122972584385,2.1814686400184815,1.2617801590477398,2.4763020541646155,5.106003558211237,1.803895099100921,0.15068724717335294,0.0,0.0,0.07714086670202333,0.33754898507843223,0.15767367315824019,0.18090227676181544,0.06907727824264494,0.030846349902651077,0.2849630452585106,0.8988622663410839,0.2613693556536206,0.4635671505715869,0.06646993110440098,0.06767170898720552,0.12977812746976994,0.12045764945274158,0.10965236586868217,0.0341094880017993,0.0169018298015173,0.04825796767530319,0.20206803025419376,0.3798585334953424,0.03775832750334955,0.26269136972339874,0.027755563102474217,0.05424417707733233,0.03648101040013942,0.011956881300285434,0.011594793941306424,0.058259667480171244,0.08000293755932408,0.11133941626045325,0.4304471676778067
ind15,-110,1000,1.8148544222715688,1.3471653284848035,0.9597432359835878,0.9550000024502218,0.9772410155382457,0.978828614092602,0.7575027647068144,0.10792323742381188,1.707282726256669,6.947062218821521,1.1079561699376685,0.2786610877554459,0.7856645687244085,0.0,0.14471790349827182,0.2940168292996883,0.11693691188060426,0.24052703594013877,0.2964878281753051,0.06481227689212173,0.344699585471465,0.7819146051234578,0.2063112197417361,0.40039902611106204,0.11433618892333211,0.09933019443912516,0.06021186614906328,0.008492855896926502,0.1072831746483879,0.08675134735242937,0.06728948919482415,0.021327641574232847,0.1483967234412466,0.6124135831851952,0.06394500240139868,0.3712638748243645,0.04185499365508444,0.10998079575895597,0.03477783320763265,0.0,0.06631591705853228,0.0007863498537149281,0.05768626975334761,0.1152734092476237,0.2957929678081709
ind16,-170,1000,1.1528626783692897,1.073714430549059,0.9686479394191752,0.6082727748856968,0.779918441175548,0.9832379042695254,0.3164622261114042,0.12004306942274552,1.5015487721071854,5.539169208021876,1.1261691049903215,0.15516253063819932,0.0,0.0,0.06494973614529974,0.233058003598019,0.08369091154668756,0.2101045140124119,0.17590893224183238,0.0,0.3434925662278438,0.552576840311376,0.15516828615071696,0.3930959267931617,0.07891452820656224,0.1116745479607161,0.12475511356729747,0.014827999585724626,0.08629297829878113,0.05246923735890626,0.010806761019969123,0.07741543569837339,0.12653712820503246,0.30222181832400646,0.05784888487837034,0.2690017518951888,0.09676136046820376,0.04535363362990041,0.08006283215934756,0.0,0.016237573554569357,0.0,0.05513235969578028,0.04483555876249418,0.1424254692555189
ind17,-140,1000,2.871324160723972,1.6944982032224087,0.9530561773141046,1.081114467678945,1.0397665447969293,0.9805893798437927,0.5347780766564628,0.17229875537877223,1.536794865382728,5.287076894112939,1.588351784610247,0.24053257320812657,0.0,0.0,0.16143324627687958,0.22015817469319554,0.07278197163498343,0.08246060663001104,0.11163621728281416,0.0,0.46133330024905295,0.36664746933191394,0.40970293187947043,0.5616836758556891,0.14293707093554867,0.17858610101745273,0.20338663625941342,0.09191905821474321,0.10432309827320513,0.11121911991394014,0.01981241255512467,0.016068174519744915,0.874670272228371,0.2832646570086775,0.06341185971933878,0.29292236594995313,0.3612648156488737,0.35627165991642407,0.014573845880253948,0.01874912711064332,0.059152754681146384,0.0,0.11404545516271379,0.14478439167646,0.2912683581548211
ind18,-160,1000,1.6117864073062202,1.2695615019786242,0.964908166278142,0.9058072371338166,0.9517390593717464,0.9801744321477268,0.8745962941740352,0.06626303471077975,1.4797349940116,6.812663255910814,1.3680754117224152,0.15182228775707163,0.3273536800123286,0.0,0.09976750562667963,0.2078766784434592,0.21809402947772136,0.19515334220836877,0.44408753954315944,0.0030768123561516238,0.21317716136411496,1.1186376365289352,0.13003434308181108,0.288153689623285,0.10123553866615259,0.08774021836743355,0.11942697755827227,0.033376656285608215,0.10806601857830327,0.04779183971043156,0.043633480467996276,0.044683135526526384,0.1489550064083636,0.4661661156918998,0.05887837120010056,0.3278322480095664,0.07566930707165043,0.17417006943103847,0.02880531946520557,0.0,0.014925147955859445,0.0007113543084159027,0.07839135445282447,0.0997021344469336,0.19304346753537419
ind19,-130,1000,1.1982867290768835,1.0946628380816092,0.9670502478879228,0.6613546848006326,0.813237163932289,0.9811545508749021,0.8210273541451353,0.19013937939144412,2.111854071355833,6.296293493053155,1.2019794660057592,0.15256886059618663,0.0,0.0,0.05984080959056449,0.1770159132829698,0.2590644834304977,0.27234781081465964,0.4585662336479624,0.02287444933644963,0.3739724881361366,0.5379649016841028,0.19411075934411004,0.3908639678172086,0.0951221307723578,0.10746484379609907,0.13916180502955103,0.023470640563244244,0.06042397806893275,0.033843652552625426,0.022873235508354867,0.024670454788999055,0.08625676097774561,0.21865833485786226,0.04977145696748754,0.24084298035359505,0.024375476978984102,0.02807031474866554,0.026513463381540495,0.0,0.020380233677250243,0.04427237035245047,0.07898974869398923,0.07488779125443548,0.24645809300491364
ind20,-150,1000,1.7197768923787564,1.3114026431187167,0.9654994890202636,1.0039387237499655,1.001967426491483,0.9788982599813164,0.6585945166037428,0.12437235347402283,2.3858088507760193,8.340672505826106,2.2603098245954776,0.15141239846905163,0.983068919231818,0.0,0.07409167115548623,0.18360500047406222,0.10249245384625924,0.12987745672005205,0.37152158103925215,0.0,0.21677483887806512,0.8863027746878378,0.16429377841373488,0.6127201713982424,0.09960056302772892,0.07938451030893832,0.1247511524938234,0.051847407259263525,0.12575209317930722,0.04069837568747923,0.02554734869104404,0.017298332320583854,0.2088603150018183,0.30482350195791674,0.045921803794835014,0.31198661101060643,0.04466266964815033,0.1582682487849311,0.03547833588236471,0.0,0.028995680173471313,0.0011051534063252618,0.09099869314110677,0.09370369253680744,0.24746335678763737
ind21,-130,1000,5.234038065854942,2.2878020163149917,0.9100189768894017,1.7434536284131497,1.3203990413557372,0.9729437277530907,0.4552811739527644,0.5039919394157872,1.7524652208925562,6.307871746312172,1.231321968537521,0.35870751986874644,0.3376468332019029,0.0,0.10801879213544137,0.2418363028743539,0.08483908497219214,0.3700948564903126,0.24780015788771906,0.056546796415908866,0.3870619474980749,1.240800059467295,0.4419970241290977,0.9193520723978053,0.16343745146465977,0.32136597760108765,0.3320873563215157,0.05828672760966467,0.1431156639806886,0.09570911911244397,0.018819090379241336,0.12157958280361483,0.6297636830764152,0.9560914700180998,0.2394712117249141,1.0420462762517946,0.18274261544785592,0.6449570127148732,0.06084749175629638,0.01122775452764703,0.13458412945010007,0.0006194748917687685,0.5162612896976644,0.13389358467105353,0.6051191519975926
